time,prices,market_cap,total_volumes
2021-07-03,15.34,15419847509.992872,468816447.8059007
2021-07-04,15.51,15587592092.317818,433677879.5271505
2021-07-05,16.03,16202592095.968876,496919154.30138683
2021-07-06,15.32,15446939706.966547,574183925.1512223
2021-07-07,16.01,16110114515.520721,710889640.5946512
2021-07-08,16.84,16988955419.758852,1071108684.8823645
2021-07-09,15.38,15515383491.814346,803984948.9624517
2021-07-10,15.73,15876798284.279968,541920808.0654576
2021-07-11,15.36,15507578349.20516,420597815.0755611
2021-07-12,15.52,15659569354.397688,344870666.6668761
2021-07-13,14.93,15064043256.525341,448242274.993748
2021-07-14,14.14,14290203246.661207,392671006.92454654
2021-07-15,13.8,13918632889.939701,594320913.1156065
2021-07-16,13.04,13164575053.977856,559591550.8491681
2021-07-17,12.02,12135153029.810574,552734556.6652181
2021-07-18,12.27,12431619895.169931,602223527.0661373
2021-07-19,12.77,12904733429.225042,491685992.45810634
2021-07-20,11.54,11716868009.766188,633403592.1663936
2021-07-21,11.07,11192123688.695856,604314613.6823586
2021-07-22,12.4,12507872639.32874,943414148.436684
2021-07-23,13.26,13425897698.422424,855200965.5527009
2021-07-24,13.35,13516250007.12555,748669936.7785717
2021-07-25,13.85,13995021443.19115,647617803.3238002
2021-07-26,13.8,13977268609.217564,599123810.8506314
2021-07-27,13.94,14197666149.040764,1406472419.6280398
2021-07-28,14.33,14471619607.204191,924272223.9271412
2021-07-29,14.54,14744715019.364664,861496261.0001287
2021-07-30,15.24,15511762402.182098,859675435.1189196
2021-07-31,15.79,16020063316.840374,899105792.4212883
2021-08-01,16.91,17191651678.448353,970085119.0522482
2021-08-02,18.32,18560418021.78449,2222122744.8011594
2021-08-03,18.19,18581195437.747715,1322342228.4124486
2021-08-04,17.47,17745897142.51564,959709619.3894043
2021-08-05,19.18,19483236487.043167,1291235791.1619103
2021-08-06,19.14,19473342237.69863,1270447579.789482
2021-08-07,20.42,20766396621.81058,1293430028.7762022
2021-08-08,21.04,21265044607.579567,1269915497.355134
2021-08-09,19.74,20106626711.23179,1018656074.6366373
2021-08-10,20.63,20824372654.69003,1053844787.9927258
2021-08-11,20.65,21021462160.86903,1135180262.5213861
2021-08-12,21.38,21760453709.923435,1462398351.259337
2021-08-13,20.76,21137761564.596798,1239209131.0266278
2021-08-14,22.6,22996186282.12132,1111594036.730999
2021-08-15,22.84,23372878955.12979,1157508341.238964
2021-08-16,23.11,23563334000.34182,944471290.0613953
2021-08-17,24.51,25452923777.416542,2081379320.9377134
2021-08-18,23.48,24159304429.401466,2580123102.6011233
2021-08-19,24.22,24871121629.816124,1897698075.3012993
2021-08-20,26.39,26800386991.24821,1834951374.3786929
2021-08-21,28.11,28679131918.841976,1906428283.9811225
2021-08-22,27.98,28629606444.31811,1614836574.9771018
2021-08-23,27.76,28485595629.483974,1316710459.9558077
2021-08-24,27.87,28634802760.25213,1346642387.4207954
2021-08-25,25.16,25966214797.418373,1562256496.4319983
2021-08-26,26.05,26709687702.000233,1426104606.9529798
2021-08-27,24.36,25001420049.62348,1307436888.2346263
2021-08-28,26.55,27227356056.746326,1360622439.1787415
2021-08-29,25.99,26609443201.535122,829101579.1077722
2021-08-30,25.78,26402199659.960243,678938725.0418639
2021-08-31,26.01,26606852908.878548,1464426120.1452827
2021-09-01,31.7,32535963685.01559,4569057825.199612
2021-09-02,32.97,33822604572.48581,3159549414.572988
2021-09-03,31.86,32719602764.601856,1792704918.9237335
2021-09-04,33.43,34222384278.98811,1894789965.7705662
2021-09-05,32.49,33466123091.017315,1155544794.471392
2021-09-06,34.27,35142925872.48066,1262460653.608827
2021-09-07,34.23,35143731453.001076,1659932503.4548569
2021-09-08,27.93,28688050254.74506,4111825922.313873
2021-09-09,27.53,28490126294.132744,2523472271.321018
2021-09-10,29.69,30643022045.922634,2236812413.367374
2021-09-11,29.0,29788383579.59864,2729974247.8725033
2021-09-12,31.43,32286865041.880806,1677342484.6653113
2021-09-13,35.76,37027846170.79269,3341446624.441163
2021-09-14,34.82,35812324937.10864,5604723293.868191
2021-09-15,37.53,38788253004.43867,2939726407.270585
2021-09-16,36.33,37410339125.7701,1625848750.932562
2021-09-17,35.55,36546026114.95362,1710265888.0050788
2021-09-18,33.09,34034533042.46009,1782611570.3137794
2021-09-19,34.93,36039068294.78999,1327354227.9320111
2021-09-20,33.74,34807420627.91072,1019941670.7607338
2021-09-21,28.33,28858484282.205788,2884063141.216121
2021-09-22,25.94,26596968281.658463,2393207898.4139647
2021-09-23,31.41,32330431374.67911,2179016958.3430533
2021-09-24,33.46,34457686867.44408,1701994083.1513853
2021-09-25,30.77,32097307439.380386,2858400513.0512323
2021-09-26,30.04,31000841342.569416,1508016469.170687
2021-09-27,28.74,29660694061.66691,1910397670.076767
2021-09-28,27.68,28750637839.83791,1239547492.5131752
2021-09-29,26.23,27312849334.235485,1133874857.2115479
2021-09-30,27.33,28251846107.374012,1141653463.512733
2021-10-01,28.62,29647004904.201897,946076212.7442867
2021-10-02,31.98,33124711534.88856,1539100178.7016811
2021-10-03,32.2,33366977888.09331,1093592994.3993373
2021-10-04,32.2,33433185196.45586,981313959.1390123
2021-10-05,31.19,32355047103.451736,1068187920.8816575
2021-10-06,31.54,32811530483.494095,1153342607.52326
2021-10-07,32.49,33631272711.70877,1673853881.1569786
2021-10-08,33.83,35072084816.551285,2437285587.375258
2021-10-09,33.37,34620498524.94477,1340022268.8006043
2021-10-10,36.37,37802353613.87512,1629814362.5436416
2021-10-11,34.34,35710512172.95275,1612950927.4838629
2021-10-12,34.11,35325841250.25503,1433542116.6139305
2021-10-13,35.13,36538467935.6122,1663686691.70196
2021-10-14,41.73,43402384032.36916,4527734457.71567
2021-10-15,40.72,42297076381.17521,2834739999.4049153
2021-10-16,43.59,45369612052.93674,3340306020.12635
2021-10-17,41.97,43859273192.05522,2044464416.564224
2021-10-18,42.13,43742927172.28111,1678390358.3639565
2021-10-19,41.14,42776996273.43379,1670187843.7146287
2021-10-20,41.42,43172393924.76975,1362586696.1227024
2021-10-21,44.55,46502735484.6576,2051643382.724359
2021-10-22,43.0,44853525407.92835,2259319122.6516676
2021-10-23,43.77,45743493577.48053,2422252174.461146
2021-10-24,44.13,45949461091.81612,1133605760.2683647
2021-10-25,42.52,44266068982.239525,1174173107.44725
2021-10-26,44.59,46565972980.72428,1262328203.4107306
2021-10-27,45.3,47076289145.008644,1663350142.7556872
2021-10-28,40.49,42320923634.55647,2822544773.7466774
2021-10-29,42.07,43915913929.21665,2837544491.9542346
2021-10-30,44.12,46048093042.8942,2174026709.4708204
2021-10-31,42.74,44630826101.60116,921954043.1230278
2021-11-01,42.82,44886129168.90644,1166429150.4682539
2021-11-02,50.09,52530888832.48173,4318501726.145254
2021-11-03,51.28,53365191562.93175,2182640237.2542076
2021-11-04,53.34,55783091481.4853,3252716884.514119
2021-11-05,54.14,56578310063.025444,2697750494.53814
2021-11-06,51.99,54378059923.014465,1720857363.0911849
2021-11-07,52.08,54554740326.24517,1627969789.0787377
2021-11-08,52.4,54856754672.34203,1340475200.6258733
2021-11-09,53.39,56053826261.21133,1651861930.0147119
2021-11-10,50.97,53615095611.95095,1748304840.7502017
2021-11-11,47.0,49245687240.40879,3042657593.4231935
2021-11-12,47.83,50255317535.37581,1783298683.2010467
2021-11-13,46.12,48284481979.40985,1891156861.5722303
2021-11-14,47.28,49560802050.11947,1068657955.267484
2021-11-15,46.59,48616511838.581566,844253258.6828798
2021-11-16,44.94,47241284463.34242,1101847678.233345
2021-11-17,41.18,43398597488.69447,2820151302.868465
2021-11-18,42.69,44819576742.965065,1788604885.741558
2021-11-19,38.93,41137039675.124115,1985512677.7768087
2021-11-20,41.43,43630032597.80758,1421375199.7158933
2021-11-21,42.18,44503624182.3523,942752211.5820888
2021-11-22,42.58,45167296661.409134,1105619165.4750638
2021-11-23,39.46,41758139803.886024,1273900351.13475
2021-11-24,40.89,43155813816.60871,1022163840.9830971
2021-11-25,38.34,40623954497.32558,990884789.2227674
2021-11-26,39.4,41769419055.51868,1061523199.1464257
2021-11-27,34.61,36623738524.83695,1990184283.7149525
2021-11-28,34.95,36923137591.07219,879872172.5632542
2021-11-29,35.64,37772947847.735794,1345484276.184666
2021-11-30,37.19,39610271572.13685,1096283142.8420017
2021-12-01,38.0,40350744977.338905,1373406877.464189
2021-12-02,36.7,38940235497.91298,1100787168.1851666
2021-12-03,35.72,38020300996.14989,870059822.7496377
2021-12-04,33.8,35994478947.066925,1176870278.2351947
2021-12-05,29.28,31100610008.464878,2556537289.3265076
2021-12-06,28.29,29998972084.677536,1275046140.7495067
2021-12-07,28.28,30045183844.325577,1738242139.5823917
2021-12-08,30.34,32206355695.974754,1579164770.1548488
2021-12-09,29.82,31627251203.396294,1181804681.8365912
2021-12-10,27.01,28884963331.479652,1069872318.3930647
2021-12-11,26.56,28443367930.50603,1215820047.05959
2021-12-12,27.74,29507420179.870304,1053957136.113929
2021-12-13,29.56,31425235076.101345,754187548.973305
2021-12-14,25.93,27635661681.994724,1099903245.3700864
2021-12-15,26.18,27776696297.039307,1035781763.9881892
2021-12-16,27.23,28682452365.937973,1427962620.7600164
2021-12-17,26.0,27675798693.906647,1297342225.9638927
2021-12-18,24.77,26416068626.617535,1006604899.8237394
