time1,prices,market_cap,total_volumes
2022-01-03,531.65,89522189019.5565,1220807572.143435
2022-01-04,513.24,86379864692.99603,1155605567.6809766
2022-01-05,508.8,86116119394.8199,1866547636.5206501
2022-01-06,476.58,80376575794.46985,2238201788.5095277
2022-01-07,474.79,80086178245.53891,2262100948.1225085
2022-01-08,448.58,75431982009.16672,2340876849.9235053
2022-01-09,430.93,72662332918.36339,2109223635.2831411
2022-01-10,439.16,73802928625.34749,1017473215.748263
2022-01-11,425.31,71469070530.31258,2283995177.355379
2022-01-12,463.43,78027582165.11958,2693923972.6085095
2022-01-13,486.91,81968927554.14449,1732515894.0651107
2022-01-14,476.6,80256860311.51465,1836655379.2635217
2022-01-15,490.06,82170008339.50629,1775644712.449493
2022-01-16,495.22,83034121647.52852,1511805154.9803548
2022-01-17,498.6,83904334598.77933,1332107668.7120554
2022-01-18,476.39,80113395111.70406,1711972220.788772
2022-01-19,471.76,79371321638.67601,1663280879.8601737
2022-01-20,464.39,78467831653.85156,1446235304.9100647
2022-01-21,441.54,74494921473.01782,1653634388.745571
2022-01-22,383.86,64653946477.53362,3089461134.141803
2022-01-23,359.01,60116625363.670944,3590172456.288106
2022-01-24,383.38,64459934780.33848,2242215151.6981797
2022-01-25,372.5,62631584015.912094,2644012029.563425
2022-01-26,385.1,64635129351.40751,1926309749.8088808
2022-01-27,376.45,63597418218.23682,1801411194.2241275
2022-01-28,391.34,65799279877.53618,1784274033.2060268
2022-01-29,386.64,64930462385.454254,1325803443.8496091
2022-01-30,390.16,65455197964.94471,1077437029.4609516
2022-01-31,378.34,63620799335.23713,809713293.9460264
2022-02-01,376.51,63111084940.62619,1183978070.3226876
2022-02-02,386.42,64988396077.18928,1147831730.5095165
2022-02-03,367.78,61845292783.10847,944360828.9735807
2022-02-04,370.68,62279822866.07972,932845622.3237836
2022-02-05,400.05,67023578508.59132,1434080864.2679703
2022-02-06,414.64,69907252285.91177,1707243779.5271208
2022-02-07,419.74,70526761117.54468,1145278303.1898243
2022-02-08,433.96,73021174370.41232,1484506914.0559335
2022-02-09,409.41,68941548308.23026,1901135964.2019
2022-02-10,422.31,71003391605.57011,1364378147.3167737
2022-02-11,415.52,69943257673.95715,1618182595.8288221
2022-02-12,400.97,67387149413.09772,1177766624.5480516
2022-02-13,403.4,67644926163.61093,1063115282.9592524
2022-02-14,399.29,67161724930.411766,902171066.4918171
2022-02-15,403.58,67927392995.635315,494813179.0091319
2022-02-16,433.47,72921371863.18454,2097197141.7202258
2022-02-17,428.82,72209779015.14417,1325457432.7809157
2022-02-18,402.67,67768130125.47836,1129722977.6152854
2022-02-19,399.96,67290288640.625626,388266118.98024994
2022-02-20,400.69,67268132030.639,938066424.2155038
2022-02-21,381.58,64427436020.24641,1148015812.1110637
2022-02-22,356.96,60272497691.14773,1618738858.8180537
2022-02-23,374.43,62997037014.43592,1611578892.7079134
2022-02-24,367.53,61823423821.17144,1287048726.698975
2022-02-25,361.34,60666123711.91457,2319428614.462771
2022-02-26,375.04,63040996747.37649,1248836310.7448277
2022-02-27,373.71,62626174042.79944,1034746780.5093408
2022-02-28,361.29,60867607019.914635,1258267471.1888309
2022-03-01,395.81,66424867796.34133,1540189377.8998697
2022-03-02,409.35,68682205857.10456,2509007292.682648
2022-03-03,409.28,68815406699.78511,1535399359.5437255
2022-03-04,402.98,67836012886.51726,876430177.8011239
2022-03-05,375.03,63038204707.347404,1412989509.4984322
2022-03-06,385.44,64694552915.98726,1178995370.37429
2022-03-07,375.28,63077523633.75106,1181871869.7686915
2022-03-08,381.52,63911307485.45487,1813986132.7580984
2022-03-09,381.74,64220105349.65272,1436515784.4588244
2022-03-10,393.61,66202668578.4044,1804524853.4562242
